date,time,build,subject,trialcode,blocknum,trialnum,latency,response,correct,stimulus1,blockcode,stimulusitem2,stimulusitem3,stimulusitem4,stimulusitem5
120616,11:26:59,4.0.9.0,1,practice,1,1,26197,57,1,sample.bmp,orient1,blacksquare2.gif,pic76.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,whitedirect,4,1,8182,plus1,0,w08.bmp,Judgedirect,blacksquare2.gif,pic107.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,blackdirect,4,2,1992,plus1,0,b12.bmp,Judgedirect,blacksquare2.gif,pic114.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,whitedirect,4,3,2735,minus1,0,w02.bmp,Judgedirect,blacksquare2.gif,pic108.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,blackdirect,4,4,3926,plus1,0,b03.bmp,Judgedirect,blacksquare2.gif,pic116.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,whitedirect,4,5,5306,plus1,0,b12.jpg,Judgedirect,blacksquare2.gif,pic110.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,blackdirect,4,6,3374,plus1,0,b06.bmp,Judgedirect,blacksquare2.gif,pic115.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,whitedirect,4,7,1617,plus1,0,w04.bmp,Judgedirect,blacksquare2.gif,pic117.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,blackdirect,4,8,2539,minus1,0,b09.bmp,Judgedirect,blacksquare2.gif,pic78.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,whitedirect,4,9,2569,plus1,0,w07.bmp,Judgedirect,blacksquare2.gif,pic81.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,blackdirect,4,10,6856,minus1,0,b11.bmp,Judgedirect,blacksquare2.gif,pic113.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,whitedirect,4,11,1397,plus1,0,b10.jpg,Judgedirect,blacksquare2.gif,pic112.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,blackdirect,4,12,2669,plus1,0,b05.bmp,Judgedirect,blacksquare2.gif,pic101.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,whitedirect,4,13,1052,plus1,0,w09.bmp,Judgedirect,blacksquare2.gif,pic109.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,blackdirect,4,14,1394,plus1,0,b10.bmp,Judgedirect,blacksquare2.gif,pic102.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,whitedirect,4,15,10541,plus1,0,w06.bmp,Judgedirect,blacksquare2.gif,pic80.bmp,Mask.bmp,0
