date,time,build,subject,trialcode,blocknum,trialnum,latency,response,correct,stimulus1,blockcode,stimulusitem2,stimulusitem3,stimulusitem4,stimulusitem5
120116,10:09:39,4.0.5.0,23,practice,1,1,2983,57,1,sample.bmp,orient1,blacksquare2.gif,pic76.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,1,7797,minus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic28.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,2,5342,minus1,0,w09.bmp,Judgeindirect,blacksquare2.gif,pic62.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,3,3088,plus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic42.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,4,2027,plus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic69.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,5,2515,minus2,0,w07.bmp,Judgeindirect,blacksquare2.gif,pic32.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,blackindirect,4,6,2002,minus1,0,b07.bmp,Judgeindirect,blacksquare2.gif,pic45.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,7,3563,minus1,0,w06.bmp,Judgeindirect,blacksquare2.gif,pic23.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,blackindirect,4,8,3133,minus2,0,b06.bmp,Judgeindirect,blacksquare2.gif,pic13.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,9,3646,minus1,0,w05.bmp,Judgeindirect,blacksquare2.gif,pic58.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,10,3844,minus1,0,w08.bmp,Judgeindirect,blacksquare2.gif,pic43.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,11,2804,minus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic19.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,12,2050,minus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic66.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,blackindirect,4,13,1769,minus2,0,b10.bmp,Judgeindirect,blacksquare2.gif,pic67.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,blackindirect,4,14,1266,minus2,0,b03.bmp,Judgeindirect,blacksquare2.gif,pic37.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,15,1229,minus1,0,w03.bmp,Judgeindirect,blacksquare2.gif,pic24.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,16,1268,plus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic46.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,17,1752,plus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic20.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,18,1612,plus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic1.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,19,2923,minus1,0,w04.bmp,Judgeindirect,blacksquare2.gif,pic3.bmp,Mask.bmp,0
