date,time,build,subject,trialcode,blocknum,trialnum,latency,response,correct,stimulus1,blockcode,stimulusitem2,stimulusitem3,stimulusitem4,stimulusitem5
40417,10:23:03,5.0.6.0,997,practice,1,1,725,57,1,sample.bmp,orient1,blacksquare2.gif,pic76.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whitedirect,4,1,1847,plus2,0,b12.jpg,Judgedirect,blacksquare2.gif,pic79.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,blackdirect,4,2,54,plus2,0,b07.bmp,Judgedirect,blacksquare2.gif,pic80.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whitedirect,4,3,149,plus2,0,w04.bmp,Judgedirect,blacksquare2.gif,pic105.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,blackdirect,4,4,183,plus2,0,b04.bmp,Judgedirect,blacksquare2.gif,pic82.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whitedirect,4,5,25,plus2,0,b11.jpg,Judgedirect,blacksquare2.gif,pic108.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,blackdirect,4,6,49,plus2,0,b01.bmp,Judgedirect,blacksquare2.gif,pic117.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whitedirect,4,7,71,plus2,0,w05.bmp,Judgedirect,blacksquare2.gif,pic112.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,blackdirect,4,8,70,plus2,0,b09.bmp,Judgedirect,blacksquare2.gif,pic113.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whitedirect,4,9,36,plus2,0,w02.bmp,Judgedirect,blacksquare2.gif,pic110.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,blackdirect,4,10,35,plus2,0,b02.bmp,Judgedirect,blacksquare2.gif,pic78.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whitedirect,4,11,82,plus2,0,w08.bmp,Judgedirect,blacksquare2.gif,pic103.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,blackdirect,4,12,120,plus2,0,b03.bmp,Judgedirect,blacksquare2.gif,pic102.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whitedirect,4,13,156,plus2,0,w03.bmp,Judgedirect,blacksquare2.gif,pic114.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,blackdirect,4,14,231,plus2,0,b12.bmp,Judgedirect,blacksquare2.gif,pic111.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whitedirect,4,15,199,plus2,0,w06.bmp,Judgedirect,blacksquare2.gif,pic109.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,blackdirect,4,16,127,plus2,0,b08.bmp,Judgedirect,blacksquare2.gif,pic106.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whitedirect,4,17,107,plus2,0,w09.bmp,Judgedirect,blacksquare2.gif,pic81.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,blackdirect,4,18,96,plus2,0,b11.bmp,Judgedirect,blacksquare2.gif,pic104.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whitedirect,4,19,85,plus2,0,w01.bmp,Judgedirect,blacksquare2.gif,pic101.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,blackdirect,4,20,83,plus2,0,b06.bmp,Judgedirect,blacksquare2.gif,pic107.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whitedirect,4,21,144,plus2,0,b10.jpg,Judgedirect,blacksquare2.gif,pic118.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,blackdirect,4,22,123,plus2,0,b10.bmp,Judgedirect,blacksquare2.gif,pic100.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whitedirect,4,23,144,plus2,0,w07.bmp,Judgedirect,blacksquare2.gif,pic116.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,blackdirect,4,24,171,plus2,0,b05.bmp,Judgedirect,blacksquare2.gif,pic115.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whiteindirect,6,1,861,plus2,0,w05.bmp,Judgeindirect,blacksquare2.gif,pic52.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,neutral,6,2,212,plus2,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic71.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,neutral,6,3,45,plus2,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic38.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,neutral,6,4,84,plus2,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic58.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,blackindirect,6,5,73,plus2,0,b09.bmp,Judgeindirect,blacksquare2.gif,pic29.bmp,Mask.bmp,0
40417,10:23:03,5.0.6.0,997,whiteindirect,6,6,79,plus2,0,w02.bmp,Judgeindirect,blacksquare2.gif,pic16.bmp,Mask.bmp,0
